,subject_doc_id,visitor_uuid,also_like_doc
0,070730153241-5673437842cc43088cf78fd072b39f3e,28aea31490eb922e,120408084856-0bdc37137507408dac70860fc49a5cf9
1,070730153241-5673437842cc43088cf78fd072b39f3e,28aea31490eb922e,130218013849-42af2c497ef645ecae9804c82c6fdcbc
2,070730153241-5673437842cc43088cf78fd072b39f3e,28aea31490eb922e,130611231827-c6b8f63adc1b4d47bd31df00431038ed
3,070730153241-5673437842cc43088cf78fd072b39f3e,28aea31490eb922e,140309220943-a2a8f95ece94b86689876714abbf939e
4,080201145159-c870ebc94ddf496695c5870bdb59b053,87d3dbbae4749f4d,090722121650-d072aab4bb144e209ed8521c216f9fa4
5,080201145159-c870ebc94ddf496695c5870bdb59b053,87d3dbbae4749f4d,090723135945-b1d272e1da274d94bd69ed345c006f2e
6,080201145159-c870ebc94ddf496695c5870bdb59b053,87d3dbbae4749f4d,120730132531-f4b986958e9949f998d33bdfbda1fe66
7,080201145159-c870ebc94ddf496695c5870bdb59b053,87d3dbbae4749f4d,130301141934-7cf886215983462f8951a7c73f68ad8f
8,080219211513-e3b57b6761be4107adc599cd5ed5a761,bdbf3144171c3cdc,090326144902-f5398bf32e1143d8aaca6c81f6896e62
9,080222081332-d69d955fce334c2ca525e4cd71f80bf6,a317f1730332230b,080318184955-79bde1b248d8423bb6dd667fb2572dd3
10,080222081332-d69d955fce334c2ca525e4cd71f80bf6,a317f1730332230b,080616170632-7262546219084f0dbae652be15f3702a
11,080222195117-d0c5c91f9c1547338981aa239eb6e190,c8ea627aeabf4fd0,131223153937-571db15b5caf3bb49c3ddc0591a759c7
12,080222195117-d0c5c91f9c1547338981aa239eb6e190,c8ea627aeabf4fd0,140204135914-a8e378e62a0eb4bdd7439ac8d6ab6285
13,080222195117-d0c5c91f9c1547338981aa239eb6e190,c8ea627aeabf4fd0,140209011548-b744b2e32cb7d3f3c6c4bf6a2193945b
14,080306120722-ef64721961a7447bb40e7493291ebe8d,27b1ad9a3bc708d6,131030031115-b9828eebaa7349cb7bc49e4fed3cb54a
15,080318184955-79bde1b248d8423bb6dd667fb2572dd3,a317f1730332230b,080222081332-d69d955fce334c2ca525e4cd71f80bf6
16,080318184955-79bde1b248d8423bb6dd667fb2572dd3,a317f1730332230b,080616170632-7262546219084f0dbae652be15f3702a
17,080502144851-96ea98efc2234cbe833df34414cb6c0f,0df2ab524767f768,080818112918-b31d6b64f25a40afb0664903db3b194a
18,080502144851-96ea98efc2234cbe833df34414cb6c0f,0df2ab524767f768,101217174130-5b5d9f3d774741dea2ce8c6c7dc44c9b
19,080510230948-8b89c4ad13b143e3b124fb7b6f089b2d,ee71750337a93ba6,080515135423-e104fa35d1dc4b119ea4243337334112
20,080510230948-8b89c4ad13b143e3b124fb7b6f089b2d,ee71750337a93ba6,090905164937-fd9f01d4856044a5a642553ac6930944
21,080515135423-e104fa35d1dc4b119ea4243337334112,ee71750337a93ba6,080510230948-8b89c4ad13b143e3b124fb7b6f089b2d
22,080515135423-e104fa35d1dc4b119ea4243337334112,ee71750337a93ba6,090905164937-fd9f01d4856044a5a642553ac6930944
23,080616170632-7262546219084f0dbae652be15f3702a,a317f1730332230b,080222081332-d69d955fce334c2ca525e4cd71f80bf6
24,080616170632-7262546219084f0dbae652be15f3702a,a317f1730332230b,080318184955-79bde1b248d8423bb6dd667fb2572dd3
25,080714182351-0a26a51ce79a40059088c823072f2bef,c48723595e2d78b7,110627221432-245dc8e7de39476581c71c18d15d2f76
26,080714182351-0a26a51ce79a40059088c823072f2bef,c48723595e2d78b7,140211150155-2b000f679bb5b24d316c458b79617426
27,080730132039-f13a76a64a824e5c980998477331be7f,14acb61f15ede6c4,110527155925-4bae715ff3bf4aa0946a6f7f10f2a8a2
28,080730132039-f13a76a64a824e5c980998477331be7f,14acb61f15ede6c4,110618020324-7f2b6c665e3f424ca88fd03aeb93ad5a
29,080813213246-563239f8f88f43f29da1808186bde661,e74a66451ee851de,090924161553-ad9b2fb0e8d24383809d49330d78dcca
